urun,kategori,uygunluk_pct,sulama_ihtiyac_mm,sulama_yontem,ekim_aylari,hasat_aylari,bakim,kar_potansiyel,emoji,il,ilce
Arpa,Tahıl,92.4,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Sarayönü
Buğday,Tahıl,87.9,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Sarayönü
Soğan,Sebze,63.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Sarayönü
Üzüm (Bağ),Meyve,54.3,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Konya,Sarayönü
Zeytin,Meyve,52.8,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Konya,Sarayönü
Arpa,Tahıl,53.3,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Selçuklu
Buğday,Tahıl,49.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Selçuklu
Soğan,Sebze,37.2,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Selçuklu
Zeytin,Meyve,31.6,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Konya,Selçuklu
Ayçiçeği,Yağlı Tohum,31.6,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Konya,Selçuklu
Soğan,Sebze,99.2,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Seydişehir
Buğday,Tahıl,98.9,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Seydişehir
Arpa,Tahıl,95.8,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Seydişehir
Üzüm (Bağ),Meyve,78.9,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Konya,Seydişehir
Ayçiçeği,Yağlı Tohum,78.3,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Konya,Seydişehir
Soğan,Sebze,99.3,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Taşkent
Buğday,Tahıl,97.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Taşkent
Arpa,Tahıl,97.0,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Taşkent
Üzüm (Bağ),Meyve,69.6,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Konya,Taşkent
Zeytin,Meyve,68.5,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Konya,Taşkent
Arpa,Tahıl,84.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Tuzlukçu
Buğday,Tahıl,80.1,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Tuzlukçu
Soğan,Sebze,53.3,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Tuzlukçu
Üzüm (Bağ),Meyve,43.9,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Konya,Tuzlukçu
Zeytin,Meyve,42.7,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Konya,Tuzlukçu
Arpa,Tahıl,92.6,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Yalıhüyük
Buğday,Tahıl,88.1,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Yalıhüyük
Soğan,Sebze,87.2,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Yalıhüyük
Üzüm (Bağ),Meyve,60.2,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Konya,Yalıhüyük
Zeytin,Meyve,58.7,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Konya,Yalıhüyük
Arpa,Tahıl,64.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Yunak
Buğday,Tahıl,60.0,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Yunak
Soğan,Sebze,46.4,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Yunak
Üzüm (Bağ),Meyve,38.8,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Konya,Yunak
Zeytin,Meyve,35.1,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Konya,Yunak
Arpa,Tahıl,85.4,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Çeltik
Buğday,Tahıl,81.3,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Çeltik
Soğan,Sebze,78.7,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Çeltik
Zeytin,Meyve,58.5,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Konya,Çeltik
Ayçiçeği,Yağlı Tohum,58.5,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Konya,Çeltik
Arpa,Tahıl,83.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Konya,Çumra
Buğday,Tahıl,79.3,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Konya,Çumra
Üzüm (Bağ),Meyve,76.2,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Konya,Çumra
Soğan,Sebze,76.2,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Konya,Çumra
Zeytin,Meyve,73.8,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Konya,Çumra
Arpa,Tahıl,93.8,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Altıntaş
Buğday,Tahıl,89.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Altıntaş
Soğan,Sebze,88.6,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Altıntaş
Üzüm (Bağ),Meyve,66.5,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Altıntaş
Zeytin,Meyve,65.5,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Altıntaş
Arpa,Tahıl,94.3,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Aslanapa
Buğday,Tahıl,89.7,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Aslanapa
Soğan,Sebze,89.1,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Aslanapa
Üzüm (Bağ),Meyve,61.3,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Aslanapa
Zeytin,Meyve,60.4,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Aslanapa
Üzüm (Bağ),Meyve,100.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Domaniç
Soğan,Sebze,100.0,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Domaniç
Buğday,Tahıl,98.4,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Domaniç
Ayçiçeği,Yağlı Tohum,97.8,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Kütahya,Domaniç
Zeytin,Meyve,97.2,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Domaniç
Arpa,Tahıl,98.6,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Dumlupınar
Zeytin,Meyve,95.1,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Dumlupınar
Üzüm (Bağ),Meyve,94.2,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Dumlupınar
Soğan,Sebze,94.2,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Dumlupınar
Buğday,Tahıl,93.7,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Dumlupınar
Arpa,Tahıl,99.8,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Emet
Zeytin,Meyve,97.5,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Emet
Üzüm (Bağ),Meyve,96.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Emet
Soğan,Sebze,96.0,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Emet
Buğday,Tahıl,95.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Emet
Arpa,Tahıl,99.3,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Gediz
Zeytin,Meyve,98.4,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Gediz
Üzüm (Bağ),Meyve,96.7,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Gediz
Soğan,Sebze,96.7,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Gediz
Buğday,Tahıl,95.7,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Gediz
Arpa,Tahıl,99.5,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Hisarcık
Zeytin,Meyve,96.5,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Hisarcık
Üzüm (Bağ),Meyve,95.3,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Hisarcık
Soğan,Sebze,95.3,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Hisarcık
Buğday,Tahıl,94.5,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Hisarcık
Arpa,Tahıl,93.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Merkez
Buğday,Tahıl,88.6,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Merkez
Üzüm (Bağ),Meyve,87.8,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Merkez
Soğan,Sebze,87.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Merkez
Zeytin,Meyve,86.6,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Merkez
Buğday,Tahıl,99.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Pazarlar
Soğan,Sebze,99.0,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Pazarlar
Üzüm (Bağ),Meyve,99.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Pazarlar
Ayçiçeği,Yağlı Tohum,98.9,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Kütahya,Pazarlar
Şeker Pancarı,Endüstriyel,96.3,550,Damla,"Mart, Nisan","Ekim, Kasım",Derin toprak sever. Düzenli sulama gerekli. Fabrika sözleşmeli.,Yüksek,🟫,Kütahya,Pazarlar
Buğday,Tahıl,99.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Simav
Ayçiçeği,Yağlı Tohum,98.9,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Kütahya,Simav
Üzüm (Bağ),Meyve,98.9,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Simav
Soğan,Sebze,98.9,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Simav
Şeker Pancarı,Endüstriyel,96.3,550,Damla,"Mart, Nisan","Ekim, Kasım",Derin toprak sever. Düzenli sulama gerekli. Fabrika sözleşmeli.,Yüksek,🟫,Kütahya,Simav
Zeytin,Meyve,99.9,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Tavşanlı
Arpa,Tahıl,98.2,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Tavşanlı
Üzüm (Bağ),Meyve,98.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Tavşanlı
Soğan,Sebze,98.0,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Tavşanlı
Buğday,Tahıl,96.7,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Tavşanlı
Arpa,Tahıl,97.0,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Kütahya,Çavdarhisar
Soğan,Sebze,92.3,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Çavdarhisar
Buğday,Tahıl,92.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Çavdarhisar
Zeytin,Meyve,70.7,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Kütahya,Çavdarhisar
Üzüm (Bağ),Meyve,70.5,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Çavdarhisar
Buğday,Tahıl,100.0,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kütahya,Şaphane
Ayçiçeği,Yağlı Tohum,100.0,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Kütahya,Şaphane
Üzüm (Bağ),Meyve,98.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kütahya,Şaphane
Soğan,Sebze,98.0,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kütahya,Şaphane
Şeker Pancarı,Endüstriyel,97.4,550,Damla,"Mart, Nisan","Ekim, Kasım",Derin toprak sever. Düzenli sulama gerekli. Fabrika sözleşmeli.,Yüksek,🟫,Kütahya,Şaphane
Buğday,Tahıl,99.9,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kırklareli,Babaeski
Ayçiçeği,Yağlı Tohum,99.9,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Kırklareli,Babaeski
Üzüm (Bağ),Meyve,97.8,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Kırklareli,Babaeski
Soğan,Sebze,97.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Kırklareli,Babaeski
Şeker Pancarı,Endüstriyel,97.6,550,Damla,"Mart, Nisan","Ekim, Kasım",Derin toprak sever. Düzenli sulama gerekli. Fabrika sözleşmeli.,Yüksek,🟫,Kırklareli,Babaeski
Pamuk,Endüstriyel,99.1,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Kırklareli,Demirköy
Elma,Meyve,90.6,600,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Soğuk kış gerektirir. Yüksek rakımda iyi gelişir. Budama önemli.,Yüksek,🍎,Kırklareli,Demirköy
Mısır,Tahıl,90.6,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Kırklareli,Demirköy
Domates,Sebze,88.7,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Kırklareli,Demirköy
Fındık,Sert Kabuklu,85.8,200,Yağışa bağlı / Damla,"Kasım, Aralık","Ağustos, Eylül",Karadeniz iklimine uygun. Eğimli arazide yetişir. Az bakım.,Çok Yüksek,🌰,Kırklareli,Demirköy
Domates,Sebze,99.6,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Kırklareli,Kofçaz
Biber,Sebze,96.9,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Kırklareli,Kofçaz
Mısır,Tahıl,96.0,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Kırklareli,Kofçaz
Patates,Sebze,92.2,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Kırklareli,Kofçaz
Pamuk,Endüstriyel,89.7,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Kırklareli,Kofçaz
Buğday,Tahıl,99.5,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Kırklareli,Lüleburgaz
